epoch,prediction_width,gamma
1,inf,4170.177783258642
2,inf,2948.7609892956707
3,inf,2407.653265732974
4,inf,2085.088891629321
5,inf,1864.9602003251416
6,inf,1702.4679509457224
7,inf,1576.17904820414
8,inf,1474.3804946478353
9,inf,1390.059261086214
10,inf,1318.7260042929297
11,inf,1257.3559105586307
12,inf,1203.826632866487
13,inf,1156.5992173338298
14,inf,1114.5268933493057
15,inf,1076.735273685659
16,inf,1042.5444458146605
17,inf,1011.4166751752641
18,inf,982.9203297652234
19,inf,956.7043965169938
20,inf,932.4801001625708
21,inf,910.0073977717084
22,inf,889.084890720994
23,inf,869.5421769900066
24,inf,851.2339754728612
25,inf,834.0355566517284
26,inf,817.8391496918044
27,inf,802.5510885776579
28,inf,788.08952410207
29,inf,774.3825737206422
30,inf,761.3668135658826
31,inf,748.986040267515
32,inf,737.1902473239177
33,inf,725.9347734281926
34,inf,715.179589621581
35,inf,704.888699299075
36,inf,695.029630543107
37,inf,685.5730044510206
38,inf,676.49216636815
39,inf,667.762869472197
40,inf,659.3630021464649
41,inf,651.2723521557903
42,inf,643.4724018942989
43,inf,635.9461499797334
44,inf,628.6779552793154
45,inf,621.6534001083805
46,inf,614.8591698773469
47,inf,608.2829468997306
48,inf,601.9133164332435
49,inf,595.739683322663
50,22.543032,589.7521978591341
51,22.620201,583.9416896753152
52,22.688591,578.2996086669149
53,22.749609,572.817972074701
54,22.804993,567.4893169819075
55,22.855276,562.3066575840488
56,22.902395,557.2634466746529
57,22.945646,552.3535408639849
58,22.985106,547.5711691105575
59,23.021038,542.9109041988688
60,23.053923,538.3676368428295
61,23.084358,533.9365521339171
62,23.112923,529.6131080872204
63,23.139624,525.3930160680467
64,23.164541,521.2722229073303
65,23.18782,517.2468945362994
66,23.210125,513.3134009901949
67,23.23334,509.46830264771694
68,23.25674,505.70833758763206
69,23.280676,502.03040995691356
70,23.30343,498.4315792561411
71,23.3251,494.9090504578858
72,23.348461,491.4601648826117
73,23.372505,488.0823917644082
74,23.394983,484.77332044575166
75,23.415554,481.5306531465948
76,23.434107,478.3521982584969
77,23.450773,475.23586411933
78,23.465525,472.179653228378
79,23.478304,469.18165686548053
80,23.489948,466.2400500812854
81,23.502234,463.35308702873806
82,23.513191,460.5190966086725
